movie_title,opening_weekend,domestic_box_office,worldwide_box_office,foreign_box_office
Iron Man,102118668,318604126,585171547,164448753
The Incredible Hulk,55414050,134806913,265573859,75352896
Iron Man 2,128122480,312433331,621156389,180600578
Thor,65723338,181030624,449326618,202572656
Captain America: The First Avenger,65058524,176654505,370569776,128856747
The Avengers,207438708,623357910,1515100211,684303593
Iron Man 3,174144585,408992272,1215392272,632255415
Thor: The Dark World,85737841,206362140,644602516,352502535
Captain America: The Winter Soldier,95023721,259746958,714401889,359631210
Guardians of the Galaxy,94320883,333714112,770882395,342847400
Avengers: Age of Ultron,191271109,459005868,1395316979,745040002
Ant-Man,57225526,180202163,518858449,281430760
Captain America: Civil War,179139142,408084349,1151918521,564695030
Doctor Strange,85058311,232641920,676354481,358654250
Guardians of the Galaxy Vol. 2,146510104,389813101,869113101,332789896
Spider-Man: Homecoming,117027503,334201140,878346440,427117797
Thor: Ragnarok,122744989,315058289,850482778,412679500
Black Panther,202003951,700059566,1336494321,434430804
Avengers: Infinity War,257698183,678815482,2048359754,1111846089
Ant-Man and the Wasp,75812205,216648740,623144660,330683715
Captain Marvel,153433423,426829839,1129727388,549464126
Avengers: End Game,357115007,858373000,2797800564,1582312557
Spider-Man: Far From Home,92579212,390532085,1132532832,649421535
Black Widow,80366312,183651655,379751655,115733688
Shang-Chi and the Legend of the Ten Rings,75388688,224543292,432243292,132311312
Eternals,71297219,164870264,402064929,165897446
Spider-Man: No Way Home,260138569,803975784,1891108035,826993682
